"code","name","area","density","age_med",2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"E12000001","North East",8581,312,41.7,2540090,2540600,2540461,2540502,2547127,2552568,2562045,2569312,2575441,2586868,2596441,2602387,2610563,2618736,2624579,2636589,2644727,2657909,2669941,2680763
"E12000002","North West",14108,522,40.3,6772985,6784880,6814660,6840369,6870021,6901585,6929277,6958547,6986156,7019921,7055961,7084470,7103488,7133026,7175178,7223961,7258627,7292093,7341196,7367456
"E12000003","Yorkshire-Humber",15404,359,40.2,4976643,5000111,5026314,5063199,5108408,5134016,5164138,5198675,5223344,5254788,5288212,5316897,5337940,5360117,5390211,5425370,5450130,5479615,5502967,5526350
"E12000004","East Midlands",15624,311,41.4,4189622,4221753,4255080,4291476,4329112,4366676,4404774,4441125,4471653,4507071,4537448,4567798,4598548,4637369,4677425,4725390,4771666,4804149,4835928,4865583
"E12000005","West Midlands",12998,459,39.6,5280727,5301243,5325475,5346376,5380687,5415521,5451924,5496240,5528007,5565866,5608667,5642763,5675030,5713439,5755032,5810773,5860706,5900757,5934037,5961929
"E12000006","East",19116,328,41.8,5400463,5432688,5474133,5508564,5562653,5606294,5653534,5708350,5751443,5807402,5862418,5905914,5951934,6017250,6075970,6129005,6168432,6201214,6236072,6269161
"E12000007","London",1572,5727,35.8,7322403,7376671,7394817,7432730,7519009,7597825,7693473,7812161,7942594,8061495,8204407,8308833,8417458,8539398,8666930,8769659,8825001,8908081,8961989,9002488
"E12000008","South East",19072,483,41.9,8023449,8045192,8087924,8133100,8202896,8270861,8351391,8426399,8490922,8577771,8652784,8724928,8793154,8874005,8949392,9030347,9080825,9133625,9180135,9217265
"E12000009","South West",23836,237,44.1,4943364,4976129,5006653,5038284,5086121,5119840,5170537,5205044,5226821,5261270,5300831,5339739,5377702,5423278,5471610,5516973,5559316,5599735,5624696,5659143
"N92000002","Northern Ireland",13793,137,39.2,1688838,1697534,1704924,1714042,1727733,1743113,1761683,1779152,1793333,1804833,1814318,1823634,1829725,1840498,1851621,1862137,1870834,1881641,1893667,1895510
"S92000003","Scotland",77901,70,42.1,5064200,5066000,5068500,5084300,5110200,5133100,5170000,5202900,5231900,5262200,5299900,5313600,5327700,5347600,5373000,5404700,5424800,5438100,5463300,5466000
"W92000004","Wales",20737,153,42.4,2910232,2922876,2937721,2957422,2969309,2985668,3006299,3025867,3038872,3049971,3063758,3074067,3082412,3092036,3099086,3113150,3125165,3138631,3152879,3169586
